"titles"
"Biohazard 3 - Last Escape (v1.1)"
"Bishi Bashi Special (Europe)"
"Blasto [SCUS-94412]"
"Blaze & Blade - Eternal Quest (Europe)"
"Blood Omen - Legacy Of Kain [SLUS-00027]"
"Bloody Roar [SCUS-94199]"
"Bloody Roar 2 [SCUS-94424]"
"Bomberman Party Edition [SLUS-01189]"
"Bomberman Wars"
"Bomberman World [SLUS-00680]"
"Brave Fencer Musashi [SLUS-00726]"
"Brave Prove"
"Breath Of Fire III [SLUS-00422]"
"Breath Of Fire IV [SLUS-01324]"
"Brigandine - Grand Edition (Disc 2)"
"Brigandine - Legend Of Forsena [SLUS-00687]"
"Broken Sword - La Leyenda De Los Templarios (Spain)"
"Broken Sword II - La Profezia Dei Maya (Italy)"
"Broken Sword II - Las Fuerzas Del Mal (Spain)"
"Bubble Bobble - Featuring Rainbow Islands [c]"
"Bubsy 3D [SLUS-00110]"
"Bugs Bunny - Lost In Time (Europe) (En,Fr,De,Es,It,Nl)"
"Bugs Bunny - Lost In Time [SLUS-00838]"
"Bugs Bunny & Taz - Time Busters (En,Fr,De,Es,It,Nl)"
"Bushido Blade"
"Bushido Blade [SCUS-94180]"
"Bushido Blade 2 [SLUS-00663]"
"Bust-A-Groove [SCUS-94263]"
"Bust-a-Groove 2 [SLUS-01159]"
"Buster Bros. Collection [SLUS-00208]"
"C - The Contra Adventure [SLUS-00499]"
"Capcom Vs. SNK - Millennium Fight 2000 Pro [SLUS-01476]"
"Captain Tsubasa - Aratanaru Densetsu Joshou"
"Card Captor Sakura - Clowcard Magic"
"Carmageddon (Europe) (En,Fr,Es,It)"
"Cart World Series [SCUS-94416]"
"Castlevania - Symphony Of The Night [SLUS-00067]"
"Castlevania Chronicles [SLUS-01384]"
"Centipede [SLUS-00807]"
"Chaos Break (Europe) (En,Fr,De,It)"
"China - The Forbidden City (Europe) (En,Es,Nl,Sv)"
"Chocobo's Magical Dungeon 2 [SLUS-00814]"
"Chocobo No Fushigi Na Dungeon"
"Chocobo No Fushigi Na Dungeon 2"
"Chocobo Racing [SLUS-00844]"
"Choro Q 2"
"Choro Q Wonderful!"
"Chou Aniki - Kyuukyoku Muteki Ginga Saikyou Otoko"
"Chrono Cross (Disc 1)"
"Chrono Cross (Disc 2)"
"Chrono Cross [Disc1of2] [SLUS-01041]"
"Chrono Cross [Disc2of2] [SLUS-01080]"
"Chrono Trigger"
"Civilization II"
"Civilization II"
"Clock Tower - The First Fear"
"Clock Tower [SLUS-00539]"
"Clock Tower 2 - The Struggle Within [SLUS-00695]"
"Colin McRae Rally [SCUS-94474]"
"Colin McRae Rally 2.0 [SLUS-01222]"
"Command & Conquer - Red Alert Retaliation - Soviets Disc [SLUS-00667]"
"Constructor (Europe) (En,Fr,De,Es)"
"Contra - Legacy Of War [SLUS-00288]"
"Cool Boarders"
"Cool Boarders 2 (Europe)"
"Cool Boarders 2 [SCUS-94358]"
"Cool Boarders 3 [SCUS-94251]"
"Cowboy Bebop"
"Crash Bandicoot"
"Crash Bandicoot [SCUS-94900]"
"Crash Bandicoot 2 - Cortex Strikes Back (Europe) (En,Fr,De,Es,It) (EDC)"
"Crash Bandicoot 2 - Cortex Strikes Back [SCUS-94154]"
"Crash Bandicoot 3 - Buttobi! Sekai Isshuu"
"Crash Bandicoot 3 - Warped"
"Crash Bandicoot 3 - Warped [SCUS-94244]"
"Crash Bandicoot Racing"
"Crash Bash [SCUS-94570]"
"Crash Team Racing [SCUS-94426]"
"Crime Crackers 2"
"Crisis Beat"
"Croc - Legend Of The Gobbos (Europe)"
"Croc 2 [SLUS-00634]"
"CTR - Crash Team Racing (Europe) (En,Fr,De,Es,It,Nl) (No EDC)"
"Cyberbots - Fullmetal Madness"
"Dance Dance Revolution - USA Mix [SLUS-01280]"
"Dance Dance Revolution 4th Mix"
"Darius Gaiden"
"Dark Seed"
"Dark Seed II"
"Darkstalkers - The Night Warriors [SLUS-00036]"
"Darkstalkers 3 - Jedah's Damnation [SLUS-00745]"
"Darkstalkers 3 (Europe)"
"Darkstone - Evil Reigns [SLUS-01182]"
"Dave Mirra Freestyle BMX - Maximum Remix [SLUS-01347]"
"DBZ - Dead Ball Zone"
"Dead Or Alive [SLUS-00606]"
"Deep Freeze"
"Demolition Racer [SLUS-00969]"
"Densha De Go! 2 (v1.0)"
"Destruction Derby 2"
"Destruction Derby 2 (Europe)"
"Destruction Derby 2 [SCUS-94350]"
"Devil Dice [SLUS-00672]"
"Dexter's Laboratory - Mandark's Lab [SLUS-01421]"
"Diablo [SLUS-00619]"
"Die Hard Trilogy"
"Die Hard Trilogy (Europe) (En,Fr,De,Es,It,Sv)"
"Die Hard Trilogy [SLUS-00119]"
"Digimon Rumble Arena (En,Fr,De,Es,It)"
"Digimon Tamers - Battle Evolution"
"Digimon World [SLES-02914]"
"Digimon World 2 [SLUS-01193]"
"Digimon World 2003 (Europe) (En,Fr,De,Es,It)"
"Digimon World 3 [SLUS-01436]"
"Dino Crisis [SLUS-00922]"
"Dino Crisis 2 (Europe)"
"Dino Crisis 2 [SLUS-01279]"
"Discworld Noir (Europe) (En,Es,It)"
"Disney's Action Game Featuring Hercules (Europe)"
"Disney's Donald Duck - Quack Attack (Europe) (En,Fr,De,It)"
"Disney's Hercules [SLUS-00529]"
"Disney's Lilo & Stitch - Trouble In Paradise (Europe)"
"Disney's Lilo & Stitch [SCUS-94646]"
"Disney's Tarzan [SCUS-94456]"
"Disney's The Emperor's New Groove [SCUS-94571]"
"Disney's The Lion King II - Simba's Mighty Adventure [SLUS-01282]"
"Disney's Toy Story 2 - Buzz Lightyear To The Rescue [SLUS-00893]"
"Disney's Toy Story Racer [SLUS-01214]"
"Disney-Pixar Toy Story 2 - Buzz Lightyear To The Rescue!"
"DoDonPachi (v1.1)"
"Donald Duck - Goin' Quackers [SLUS-01242]"
"Dora The Explorer - Barnyard Buddies [SLUS-01576]"
"Doraemon 3 - Makai No Dungeon"
"Double Dragon"
"Dr. Slump"
"Dragon Ball GT -Final Bout [SLES-03735]"
"Dragon Ball Z - Idainaru Dragon Ball Densetsu"
"Dragon Ball Z - Ultimate Battle 22"
"Dragon Quest IV - Michibikareshi Mono Tachi"
"Dragon Warrior VII [Disc1of2] [SLUS-01206]"
"DragonBallZ-Idainaru DB Densetsu [00355]"
"DragonBallZ-Ultimate Battle 22 [SLES-03736]"
"Driver [SLES-01816]"
"Driver 2 [Disc1of2] [SLUS-01161]"
"Driver_2_[Disc2of2]__[SLUS-01318]"
"Duke Nukem - Time To Kill [SLUS-00583]"
"Duke Nukem - Total Meltdown"
"Dune 2000 [SLUS-00973]"
"Dynasty Warriors [SLUS-00438]"
"Earthworm Jim 2 (Europe)"
"ECW Anarchy Rulz [SLUS-01169]"
"Ehrgeiz - God Bless The Ring"
"EOS - Edge Of Skyhigh"
"ESPN Extreme Games [SCUS-94503]"
"Eternal Eyes [SLUS-01034]"
"Exhumed (Europe) (En,Fr,De,Es)"
"Fatal Fury - Wild Ambition [SLUS-01001]"
"FIFA - Road To World Cup 98"
"FIFA 2002 [SLUS-01408]"
"FIFA Soccer 2005 [SLUS-01585]"
"FIFA World Cup 2002 [SLUS-01449]"
"Fighters' Impact"
"Fighting Force 2 (Europe) (Es,It)"
"Fighting Force 2 [SLUS-00934]"
"Fighting Illusion - K-1 GP 2000"
"Final Doom [SLUS-00331]"
"Final Fantasy Anthology - Final Fantasy VI [SLUS-00900]"
"Final Fantasy Chronicles - Chrono Trigger [SLUS-01363]"
"Final Fantasy IX (Disc 1) [SLES-02965]"
"Final Fantasy IX (Disc 3)"
"Final Fantasy IX (Disc 3) [SLES-22965]"
"Final Fantasy IX _(Disc_2)_[SLES-12965]"
"Final Fantasy IX _(Disc_4)_[SLES-32965]"
"Final Fantasy Tactics [SCUS-94221]"
"Final Fantasy V"
"Final Fantasy VII (Disc 1) [SCES-00867]"
"Final Fantasy VII (Disc 2) [SCES-10867]"
"Final Fantasy VII (Disc 3) [SCES-20867]"
"Final Fantasy VII (Europe) (Disc 2)"
"Final Fantasy VII [Disc1of3] [SCUS-94163]"
"Final Fantasy VII [Disc2of3] [SCUS-94164]"
"Final Fantasy VII [Disc3of3] [SCUS-94165]"
"Final Fantasy VII International (Disc 3)"
"Final Fantasy VIII (Disc 1) [SLES-02080]"
"Final Fantasy VIII _(Disc_2)_[SLES-12080]"
"Final Fantasy VIII _(Disc_3)_[SLES-22080]"
"Final Fantasy VIII _(Disc_4)_[SLES-32080]"
"Fire Pro Wrestling G (v1.0)"
"Fire Pro Wrestling Japan"
"Firemen 2, The - Pete & Danny"
"Fisherman's Bait - Big Ol' Bass 2 [SLUS-01259]"
"Formula 1 '98 [SLUS-00744]"
"Formula 1 97 (En,Ja,Fr,De,Es,It)"
"Formula 1 97 (Europe) (En,Fr,De,Es,It) (v1.1)"
"Formula 1 Championship Season 2000 [SLUS-01290]"
"Frogger [SLUS-00506]"
"From TV Animation One Piece - Grand Battle!"
"From TV Animation One Piece - Grand Battle! 2"
"Front Mission 2 (v1.0)"
"Front Mission 3 [SLUS-01011]"
"Front Mission Alternative"
"Frontschweine (Germany)"
"Fun! Fun! Pingu - Youkoso! Nankyoku E"
"Future Cop - L.A.P.D. (Europe) (En,Fr)"
"Future Cop - L.A.P.D. (Germany)"
"G-Police 2 - Weapons Of Justice [SLUS-00798]"
"G.T.A - Grand Theft Auto"
"Gaiaseed - Project Seed Trap"
"Game Of Life, The [SLUS-00769]"
"Ganbare Goemon - Uchuu Kaizoku Akogingu (v1.1)"
"Gear Fighter Dendoh"
"Gegege No Kitarou - Gyakushuu! Youma Daikessen"
"Gekido - Urban Fighters [SLUS-00970]"
"Gex - Deep Cover Gecko (Europe) (Fr,De)"
"Gex [SLUS-00042]"
"Gex 3 - Deep Cover Gecko [SLUS-00806]"
"Gex 3D - Enter The Gecko (Europe)"
"Godzilla - Trading Battle"
"Goemon - Shin Sedai Shuumei"
"Gran Turismo (EDC) [SCES-00984]"
"Gran Turismo (Europe) (En,Fr,De,Es,It) (No EDC)"
"Gran Turismo 2 - Arcade Mode [SCUS-94455]"
"Gran Turismo 2 - Simulation Mode [SCUS-94488]"
"Gran Turismo 2 (Disc 2) (Gran Turismo) (v1.1)"
"Gran Turismo 2 (Europe) (En,Fr,De,Es,It) (Disc 1) (Arcade Mode)"
"Gran Turismo 2 (Europe) (En,Fr,De,Es,It) (Disc 2) (Gran Turismo Mode)"
"Grand Theft Auto - Mission Pack 1 - London 1969 [SLUS-00846]"
"Grand Theft Auto (Europe) (En,Fr,De,It) (EDC)"
"Grand Theft Auto 2 [SLUS-00789]"
"Grand Theft Auto NTSC-U SLUS-00106"
"Grandia (Disc 1)"
"Grandia [Disc1of2] [SCUS-94457]"
"Grinch, The [SLUS-01197]"
"Groove Adventure Rave - Mikan No Hiseki"
"Groove Adventure Rave - Yuukyuu No Kizuna"
"Growlanser (Disc 1)"
"Guardian's Crusade [SLUS-00811]"
"Guilty Gear [SLUS-00772]"
"Guitar Freaks"
"Gunbird"
"Gungage"
"Gunners Heaven"
"Gunnm - Kasei No Kioku"
"Harry Potter And The Chamber Of Secrets (Europe) (Es,It,Pt)"
"Harry Potter And The Chamber Of Secrets [SLUS 01503]"
"Harry Potter And The Philosopher's Stone (Europe) (En,Fr,De)"
"Harry Potter And The Philosopher's Stone (Europe) (Es,It,Pt)"
"Harvest Moon - Back To Nature [SLUS-01115]"
"Heart Of Darkness [Disc1of2] [SLUS-00696]"
"Hellnight (Europe) (En,Fr,De)"
"Herc's Adventures [SLUS-00298]"
"Hokuto No Ken - Seikimatsu Kyuuseishu Densetsu"
"Hot Wheels - Turbo Racing [SLUS-00964]"
"Hugo - Black Diamond Fever (Europe) (Es,It,Pt)"
"Hugo - Black Diamond Fever (Europe) (Fr,De,Nl)"
"Hugo - The Quest For The Sunstones (Europe) (En,Fr,De,Es,It,Pt,Sv,No,Da,Fi)"
"Hugo (Europe)"
"Hugo (Europe) (Nl,Pt)"
"Hugo (Germany)"
"Hunter X Hunter - Maboroshi No Greed Island"
"I.Q - Intelligent Qube"
"Idol Janshi Suchie-Pai Limited"
"In The Hunt [SLUS-00172]"
"Inuyasha A Feudal Fairy Tale [SLUS-01534]"
"Iss Pro Evolution [SLUS-01014] Img"
"ISS Pro Evolution 2 (Europe) (En,Fr,De)"
"Italian Job, The (Europe)"
"J. League Jikkyou Winning Eleven '98-'99"
"J. League Jikkyou Winning Eleven 2000"
"J. League Jikkyou Winning Eleven 2001"
"Jackie Chan Stuntmaster"
"Jackie Chan Stuntmaster [SLUS-00684]"
"Jade Cocoon - Die Tamamayu Legende (Germany)"
"James Bond 007 - The World Is Not Enough [SLUS-01272]"
"Jet Moto 2 [SCUS-94167]"
"Jojo S Bizarre Adventure [SLUS-01060]"
"Kamen Rider"
"Kamen Rider Agito"
"Kamen Rider Ryuki"
"Kamen Rider V3"
"King's Field III - Pilot Style"
"King Of Fighters '96, The"
"King Of Fighters '97, The"
"King Of Fighters 95 [SCUS-94205]"
"King Of Fighters 99 [SLUS-01332]"
"KKND Krossfire (Europe)"
"KKND Krossfire (Germany)"
"Klaymen Klaymen - Neverhood No Nazo"
"Klonoa Beach Volley - Saikyou Team Ketteisen!"
"Klonoa Beach Volleyball (Europe) (En,Fr,De,Es,It)"
"Klonoa Door To Phantomile [SLUS-00585]"
"Knockout Kings 2001 [SLUS-01269]"
"Konami Antiques - MSX Collection Vol. 1"
"Kula World (Europe)"
"Kurushi Final (Europe)"
"Langrisser I & II"
"Legacy Of Kain - Soul Reaver (bin)[SLUS-00708]"
"Legacy Of Kain - Soul Reaver (Europe)"
"Legacy Of Kain - Soul Reaver (Spain)"
"Legend Of Dragoon CD1"
"Legend Of Dragoon CD2"
"Legend Of Dragoon CD4"
"Legend Of Dragoon, The (Disc 3)"
"Legend Of Legaia (ccd)[SCUS-94254]"
"LEGO Island 2 - The Brickster's Revenge"
"Lifeforce Tenka (Europe)"
"LMA Manager 2001 (Europe)"
"LMA Manager 2002 (Europe)"
"LMA Manager 2002 (Europe)"
"Loaded Bin [SLUS-00076]"
"Lode Runner - The Legend Returns"
"London Seirei Tanteidan"
"Looney Toons Racing Bin [SLUS-01145]"
"Looney Toons Sheep Raider Bin [SLUS-01369]"
"Lost World The Jurassic Park CCD [SLUS-00515]"
"Lost World, The - Jurassic Park"
"LSD - Dream Emulator"
"Lucky Luke - Western Fever (Europe) (En,Fr,De,Es,It,Nl)"
"Lucky Luke (Europe) (En,Fr,De,Es)"
"Lucky Luke Bin [SLUS-00719]"
"Lunar 2 Eternal Blue Complete Bin DISC1OF3 [SLUS-01071]"
"Lunar Silver Star Story Complete CCD DISC1OF2 [SLUS-00628]"
"Madden Nfl 2004 [SLUS-01570]"
"Madden_NFL_2005_[SLUS-01584]"
"Marvel Super Heroes [SLUS-00257]"
"Marvel Super Heroes Vs Street Fighter [SLUS-00793]"
"Marvel Vs. Capcom - Clash Of Super Heroes - EX Edition"
"Marvel Vs. Capcom - Clashofthe SuperHeroes[01059]"
"Matt Hoffman S Pro Bmx [SLUS-01113]"
"Medal Of Honor [SLUS-00974]"
"Medal Of Honor Underground [SLUS-01270]"
"Medarot R"
"Medievil [SCUS-94227]"
"Medievil II [SCUS-94564]"
"Mega Man X3 (Europe)"
"Megaman - Battle & Chase (Europe)"
"Megaman 8 [SLUS-00453]"
"Megaman Legends [SLUS-00603]"
"Megaman X4 [SLUS-00561]"
"Megaman X5 [SLUS-01334]"
"Megaman X6 [SLUS-01395]"
"Metal Gear Solid (Disc 1) [SLES-01370]"
"Metal Gear Solid (Disc 2) [SLES-11370]"
"Metal Gear Solid [disc1of2][SLUS-00594]"
"Metal Slug - Super Vehicle-001"
"Metal Slug X [SLUS-01212]"
"Metal_Gear_Solid_[disc2of2][SLUS-00776]"
"Mickey's Wild Adventure (Europe) (EDC)"
"Mickey's Wild Adventure (Europe) (No EDC)"
"Micro Machines V3 [SLUS-00559]"
"Misadventures Of Tron Bonne The [SLUS-00896]"
"Mizzurna Falls"
"Monkey Magic [SLUS-00930]"
"Monopoly [SLUS-00507]"
"Monster Rancher [SLUS-00568]"
"Monster Rancher 2 [SLUS-00917]"
"Monster Rancher Battle Card Episode II [SLUS-01178]"
"Moon - Remix RPG Adventure"
"Moonlight Syndrome (Disc 1)"
"Mortal Kombat 3"
"Mortal Kombat 3 [SCUS-94201]"
"Mortal Kombat 4 [SLUS-00605]"
"Mortal Kombat II"
"Mortal Kombat Mythologies Sub Zero 0 [SLUS-00476]"
"Mortal Kombat Trilogy [SLUS-00330]"
"Mtv Celebrity Deathmatch [SLUS-01453]"
"Muppet Monster Adventure"
"My Disney Kitchen [SLUS-01512]"
"Myst (v1.0)"
"Namco Museum Vol. 1"
"Namco Tennis Smash Court"
"Naruto - Shinobi No Sato No Jintori Gassen(Japan)"
"Nascar Rumble [SLUS-01068]"
"Nascar Thunder 2004 [SLUS-01571]"
"Nba Live 2003 [SLUS-01483]"
"NBA Live 98"
"Ncaa March Madness 2001 [SLUS-01320]"
"Necronomicon - The Dawning Of Darkness (Europe) (Disc 1)"
"Need For Speed - High Stakes [SLUS-00826]"
"Need For Speed [SLUS-00204]"
"Need For Speed 4 High Stakes [SLUS-00826]"
"Need For Speed II [SLUS-00276]"
"Need For Speed III Hot Pursuit [SLUS-00620]"
"Need For Speed V Rally 2 [SLUS-01003]"
"Nekketsu Oyako"
"Next Tetris The [SLUS-00862]"
"Nfl Blitz [SLUS-00617]"
"Nhl 2000 [SLUS-00965]"
"Nightmare Creatures"
"Nightmare Creatures [SLUS-00582]"
"Nightmare Creatures II [SLUS-01112]"
"Ninja - Shadow Of Darkness (Europe)"
"Ninja Jajamaru-kun - Onigiri Ninpouchou"
"Nofear Downhill Mountain Bike Racing [SLUS-01000]"
"Nuclear Strike"
"Oddworld - Abe's Oddysee (Europe)"
"Oddworld - Abe's Oddysee (Germany)"
"Oddworld - L'Odyssee D'Abe (France)"
"Oddworld Abe S Oddysee [SLUS-00190]"
"Omega Boost [SCUS-94449]"
"Ore No Shikabane Wo Koete Yuke"
"OverBlood 2 (Europe) (v1.0)"
"Overboard! (Europe)"
"Pac Man World 20TH Anniversary [SLUS-00439]"
"Pandemonium [SLUS-00232]"
"Pandemonium 2 [SLUS-00578]"
"PaRappa The Rapper"
"Parappa The Rapper [SCUS-94183]"
"Parasite Eve (Disc 2)"
"Parasite Eve [Disc1of2] [SLUS-00662]"
"Parasite Eve DISC2OF2 [SLUS-00668]"
"Parasite Eve II (Disc 2)"
"Parasite Eve II (Europe) (Disc 2)"
"Pepsiman"
"Persona 2 Eternal Punishment [SLUS-01158]"
"Persona 2 Eternal Punishment Bonus Disc [SLUS-01339]"
"Persona Revelations [SLUS-00339]"
"Pink Panther - Pinkadelic Pursuit (Europe) (En,Fr,De,Es,It)"
"Policenauts (Disc 1)"
"Pop'n Tanks!"
"PoPoLoCrois Monogatari (v1.0)"
"Power Rangers Lightspeed Rescue [SLUS-01114]"
"Power Rangers Zeo Full Tilt Battle Pinball [SLUS-00256]"
"Poy Poy 2 (Europe)"
"Primal Rage [SLUS-00126]"
"Pro Evolution Soccer 2 (Europe) (Es,It)"
"Pro Pinball - The Web (Europe)"
"Psychic Force 2"
"Psychic Force 2 (Europe)"
"Puchi Carat (Europe)"
"Puyo Puyo Box"
"Puyo Puyo Tsuu - Ketteiban (v1.0)"
"Quake II [SLUS-00757 CCD Cue Img Sub]"
"R Type Delta [SLUS-00877]"
"R4 - Ridge Racer Type 4"
"Racing Lagoon"
"Radikal Bikers (Europe) (En,Fr,De,Es,It)"
"Rage Racer [SLUS-00403]"
"Rally De Africa (Taikenban)"
"Rampage 2 Universal Tour [SLUS-00742]"
"Rampage Through Time [SLUS-01065]"
"Ranma 1-2 - Battle Renaissance"
"Rapid Reload (Europe)"
"Rayman [SLES-00049]"
"Rayman [SLUS-00005]"
"Rayman 2 - The Great Escape (Europe) (En,Es,It)"
"Rayman 2 The Great Escape [SLUS-01235]"
"Rayman Rush [SLUS-01458]"
"Ready 2 Rumble [SLUS-00857]"
"Ready 2 Rumble Boxing Round 2 [SLUS-01147]"
"Real Bout Garou Densetsu Special - Dominated Mind"
"Refrain Love"
"Rescue Shot (Europe) (En,Fr,De,Es,It)"
"Resident Evil - Director's Cut (Europe)"
"Resident Evil - Survivor (Europe)"
"Resident Evil [SLUS-00170]"
"Resident Evil 2 (Disc 1)(Leon)[SLES-00972]"
"Resident Evil 2 (Disc 2)(Claire)[SLES-10972]"
"Resident Evil 2 Dual Shock CD1 [SLUS-00748]"
"Resident Evil 2 Dual Shock CD2 [SLUS-00756]"
"Resident Evil 3 - Nemesis (Europe)"
"Resident Evil 3 - Nemesis [SLUS-00923]"
"Resident Evil Director S Cut [SLUS-00551]"
"Resident Evil Director S Cut Dual Shock [SLUS-00747]"
"Resident Evil Survivor [SLUS-01087]"
"Return Fire [SLUS-00184]"
"Ridge Racer [SCUS-94300]"
"Rival Schools Evolution [SLUS-00771]"
"Road Rash [SLUS-00035]"
"Road Rash Jailbreak [SLUS-01053]"
"Robocod - James Pond II (Europe) (En,Fr,De,Es,It)"
"Rockman 8 - Metal Heroes"
"Rockman X3"
"Rockman X4"
"Rockman X5"
"Rogue Trip Vacation 2012 [SLUS-00643]"
"Rollcage (Europe) (En,Fr,De,Es,It)"
"Romance Of The Three Kingdoms VI [SLUS-00918]"
"Ronaldo V-Football (Europe) (En,Fr,Nl,Sv)"
"Rugrats Search For Reptar [SLUS-00650]"
"Running Wild [SCUS-94272]"
"SaGa Frontier"
"Saiyuki Journey West [SLUS-01381]"
"Samurai Deeper Kyo"
"Seiken Densetsu - Legend Of Mana"
"Serial Experiments Lain (Disc 2)"
"Shaman King - Spirit Of Shamans"
"Shiritsu Justice Gakuen - Nekketsu Seishun Nikki 2"
"Shonen Jump's One Piece - Grand Battle (Europe) (En,Fr,De,Es,It)"
"Shrek Treasure Hunt [SLUS-01463]"
"Shutokou Battle Gaiden - Super Technic Challenge - Drift King E No Michi"
"Silent Hill (v1.1)"
"Silent Hill [SLES-01514]"
"Silent Hill [SLUS-00707]"
"Sim City 2000 [SLUS-00113]"
"Sim Theme Park [SLUS-01069]"
"SimCity 2000"
"Simpsons Wrestling [SLUS-01227]"
"Skullmonkeys"
"Slap Happy Rhythm Busters"
"Sled Storm [SLUS-00955]"
"Small Soldiers [SLUS-00781]"
"Smash Court 3"
"Snatcher"
"Sonic Wings Special (Europe)"
"Soul Blade (Europe)"
"Soul Blade [SLUS-00240]"
"Space Invaders [SLUS-00928]"
"Space Jam [SLUS-00243]"
"Spawn The Eternal [SCUS-94204]"
"Spider-Man"
"Spider-Man 2 - Enter - Electro"
"Spiderman [SLUS-00875]"
"Spiderman 2 Enter Electro [SLUS-01378]"
"Spongebob Squarepants Supersponge [SLUS-01352]"
"Spyro - Year Of The Dragon (Europe) (En,Fr,De,Es,It) (v1.0)"
"Spyro - Year Of The Dragon [SCES-02835].bin"
"Spyro 2 - Gateway To Glimmer (Europe) (En,Fr,De,Es,It)"
"Spyro The Dragon [SCES-01438]"
"Spyro The Dragon [SCUS-94228]"
"Spyro The Dragon 2 Ripto S Rage [SCUS-94425]"
"Spyro The Dragon 3 Year Of The Dragon [SCUS-94467]"
"Star Wars - Dark Forces"
"Star Wars - Masters Of Teras Kasi"
"Star Wars Dark Forces [SLUS-00297]"
"Star Wars Episode I Jedi Power Battle [SLUS-01046]"
"Street Fighter Alpha 3 [SLUS-00821]"
"Street Fighter Collection (Europe) (Disc 1)"
"Street Fighter Collection DISC2OF2 Street Fighter Alpha 2 Gold [SLUS-00584]"
"Street Fighter EX Plus Alpha"
"Street Fighter Ex Plus Alpha [SLUS-00548]"
"Street Fighter EX2 Plus [SLUS-01105]"
"Strider 2 [SLUS-01163]"
"Strikers 1945 II"
"Stuart Little 2 [SCUS-94669]"
"Suikoden (Europe)"
"Suikoden [SLUS-00292]"
"Suikoden II [SLUS-00958]"
"Super Pang Collection (Japan)"
"Super Puzzle Fighter II Turbo"
"Super Robot Taisen Alpha Gaiden (v1.2)"
"Super Robot Taisen F Kanketsuhen"
"Super Shot Soccer [SLUS-01464]"
"Susume! Taisen Puzzle-dama"
"Syphon Filter [SCUS-94240]"
"Syphon Filter 3 (Germany)"
"Syphon Filter 3 [SCUS-94640]"
"T'ai Fu - Wrath Of The Tiger (Europe)"
"Tactics Ogre - Let Us Cling Together"
"Tales Of Destiny [SLUS-00626]"
"Tales Of Phantasia"
"Team Buddies [SLUS-00869]"
"TechnoMage - Return Of Eternity (Europe)"
"Tekken 2"
"Tekken 2 [SCES-00255]"
"Tekken 3 [SCES-01237]"
"Tekken 3 [SLUS-00402]"
"Tekken_ _[SCES-00005]"
"Tenchi O Kurau II - Sekiheki No Tatakai"
"Tenchu - Stealth Assassins [SLES-01374]"
"Tenchu 2 Birth Of The Stealth Assassins [SLUS-00939]"
"Test Drive 5"
"Tetris Plus (Europe)"
"Theme Park World (Europe) (En,Fr,De,Es,It,Nl,Sv)"
"Thousand Arms (Disc 1)"
"Thrasher - Skate And Destroy"
"Thrill Kill SLUS00752]"
"Thunder Force V Perfect System [SLUS-00727]"
"Time Crisis (v1.1)"
"Time Crisis [SCES-00657]"
"Tintin - Destination Adventure (Europe) (En,Fr,De,Es,It,Nl,Pt)"
"Tobal 2 (v1.0)"
"Tobal 2 (v1.1)"
"TOCA 2 Touring Cars (Europe) (En,Fr,De) (v1.1)"
"TOCA Touring Car Championship (Europe) (En,Fr,De,Es,It) (v1.0)"
"TOCA World Touring Cars (Europe) (En,Fr,De)"
"Tom And Jerry In House Trap"
"Tom Clancy S Rainbow Six Rogue Spear [SLUS-01108 Bin Cue]"
"Tomb Raider 2"
"Tomb Raider 2 [SLUS-00437"
